,0
813,0
814,0
815,0
816,1
817,0
818,1
819,1
820,1
821,1
822,0
823,0
824,0
825,0
826,0
827,1
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,0
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,0
855,0
856,1
857,0
858,1
859,1
860,0
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,0
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,0
878,1
879,1
880,0
881,0
882,1
883,0
884,1
885,1
886,0
887,0
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,0
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,1
926,1
927,0
928,0
929,0
930,1
931,0
932,1
933,1
934,1
935,1
936,0
937,0
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,0
966,1
967,1
968,0
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,0
1051,1
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,0
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,0
1084,1
1085,0
1086,1
1087,0
1088,0
1089,1
1090,1
1091,0
1092,0
1093,1
1094,0
1095,1
1096,1
1097,0
1098,0
1099,0
1100,0
1101,0
1102,1
1103,0
1104,0
1105,0
1106,1
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,0
1125,1
1126,0
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,1
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,0
1147,1
1148,1
1149,1
1150,0
1151,1
1152,0
1153,0
1154,1
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,0
1177,1
1178,1
1179,0
1180,1
1181,0
1182,1
1183,1
1184,1
1185,0
1186,0
1187,1
1188,1
1189,1
1190,0
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,1
1199,1
1200,0
1201,1
1202,0
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,0
1230,0
1231,1
1232,1
1233,1
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,0
1250,1
1251,0
1252,0
1253,1
1254,1
1255,0
1256,0
1257,0
1258,0
1259,0
1260,1
1261,1
1262,1
1263,1
1264,0
1265,1
1266,0
1267,0
1268,1
1269,1
1270,1
1271,1
1272,1
1273,0
1274,1
1275,1
1276,1
1277,1
1278,0
1279,0
1280,1
1281,1
1282,1
1283,1
1284,1
1285,0
1286,0
1287,1
1288,1
1289,0
1290,1
1291,0
1292,0
1293,0
1294,0
1295,1
1296,0
1297,1
1298,1
1299,0
1300,0
1301,0
1302,1
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,1
1314,1
1315,1
1316,1
1317,0
1318,0
1319,1
1320,1
1321,1
1322,0
1323,0
1324,0
1325,1
1326,0
1327,1
1328,1
1329,0
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,0
1343,1
1344,0
1345,1
1346,0
1347,0
1348,0
1349,1
1350,0
1351,1
1352,0
1353,0
1354,1
1355,1
1356,1
1357,0
1358,0
1359,1
1360,1
1361,1
1362,0
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,0
1377,0
1378,1
1379,1
1380,1
1381,1
1382,0
1383,1
1384,1
1385,1
1386,1
1387,1
1388,0
1389,1
1390,1
1391,0
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,0
1402,1
1403,1
1404,1
1405,0
1406,1
1407,1
1408,1
1409,0
1410,1
1411,1
1412,1
1413,1
1414,1
1415,0
1416,1
1417,1
1418,1
1419,1
1420,0
1421,1
1422,1
1423,1
1424,0
1425,1
1426,1
1427,0
1428,1
1429,0
1430,1
1431,1
1432,1
1433,0
1434,0
1435,0
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,0
1448,1
1449,0
1450,1
1451,0
1452,1
1453,1
1454,0
1455,0
1456,1
1457,0
1458,1
1459,0
1460,1
1461,0
1462,0
1463,0
1464,1
1465,1
1466,1
1467,1
1468,0
1469,1
1470,1
1471,0
1472,1
1473,0
1474,0
1475,0
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,0
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,0
1492,0
1493,0
1494,0
1495,1
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,1
1507,0
1508,0
1509,0
1510,0
1511,0
1512,1
1513,1
1514,0
1515,0
1516,0
1517,0
1518,1
1519,0
1520,1
1521,1
1522,0
1523,1
1524,0
1525,1
1526,0
1527,1
1528,0
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,1
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1
1543,1
1544,1
1545,1
1546,0
1547,1
1548,1
1549,0
1550,0
1551,1
1552,0
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,0
1568,0
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,0
1576,0
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,0
1584,1
1585,0
1586,1
1587,1
1588,1
1589,0
1590,1
1591,1
1592,0
1593,0
1594,0
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,1
1607,1
1608,1
1609,0
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,0
1621,1
1622,1
1623,0
1624,1
1625,1
1626,1
1627,0
1628,0
1629,1
1630,0
1631,1
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,1
1642,1
1643,1
1644,1
1645,0
1646,1
1647,0
1648,1
1649,1
1650,0
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,0
1658,1
1659,0
1660,0
1661,0
1662,1
1663,1
1664,1
1665,0
1666,1
1667,1
1668,0
1669,1
1670,0
1671,0
1672,1
1673,1
1674,1
1675,1
1676,1
1677,0
1678,1
1679,1
1680,0
1681,1
1682,1
1683,0
1684,1
1685,0
1686,0
1687,1
1688,0
1689,0
1690,0
1691,0
1692,0
1693,1
1694,0
1695,0
1696,1
1697,1
1698,0
1699,1
1700,1
1701,0
1702,0
1703,1
1704,1
1705,0
1706,1
1707,0
1708,0
1709,1
1710,0
1711,0
1712,1
1713,1
1714,1
1715,1
1716,0
1717,0
1718,0
1719,0
1720,0
1721,1
1722,0
1723,1
1724,0
1725,1
1726,1
1727,1
1728,1
1729,0
1730,1
1731,0
1732,1
1733,1
1734,0
1735,1
1736,0
1737,1
1738,1
1739,0
1740,0
1741,1
1742,0
1743,1
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,1
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,1
1767,0
1768,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,0
1780,1
1781,0
1782,0
1783,1
1784,1
1785,0
1786,0
1787,1
1788,1
1789,1
1790,0
1791,1
1792,1
1793,1
1794,0
1795,0
1796,0
1797,0
1798,1
1799,1
1800,0
1801,1
1802,1
1803,1
1804,1
1805,1
1806,0
1807,0
1808,1
1809,1
1810,0
1811,0
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,0
1819,1
1820,0
1821,1
1822,0
1823,0
1824,1
1825,1
1826,0
1827,1
1828,1
1829,1
1830,1
1831,0
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,1
1848,0
1849,1
1850,1
1851,0
1852,0
1853,1
1854,1
1855,0
1856,0
1857,0
1858,0
1859,1
1860,1
1861,1
1862,0
1863,0
1864,0
1865,1
1866,0
1867,1
1868,0
1869,1
1870,1
1871,0
1872,1
1873,0
1874,1
1875,0
1876,0
1877,0
1878,0
1879,0
1880,1
1881,0
1882,1
1883,0
1884,1
1885,0
1886,0
1887,0
1888,0
1889,1
1890,0
1891,0
1892,1
1893,1
1894,0
1895,1
1896,0
1897,1
1898,0
1899,1
1900,1
1901,1
1902,1
1903,1
1904,0
1905,0
1906,0
1907,0
1908,1
1909,1
1910,0
1911,1
1912,0
1913,0
1914,0
1915,0
1916,0
1917,1
1918,0
1919,1
1920,1
1921,0
1922,0
1923,1
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,1
1932,1
1933,0
1934,0
1935,0
1936,1
1937,0
1938,1
1939,0
1940,0
1941,0
1942,1
1943,0
1944,0
1945,1
1946,1
1947,1
1948,0
1949,1
1950,0
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,0
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,0
1975,0
1976,0
1977,1
1978,1
1979,0
1980,1
1981,0
1982,1
1983,0
1984,0
1985,1
1986,0
1987,0
1988,1
1989,0
1990,1
1991,1
1992,0
1993,0
1994,1
1995,1
1996,0
1997,0
1998,1
1999,1
2000,0
2001,1
2002,1
2003,0
2004,1
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2016,0
2017,0
2018,1
2019,0
2020,1
2021,0
2022,1
2023,1
2024,0
2025,0
2026,0
2027,0
2028,0
2029,1
2030,1
2031,0
2032,1
2033,0
2034,0
2035,1
2036,0
2037,1
2038,0
2039,1
2040,0
2041,1
2042,1
2043,0
2044,1
2045,1
2046,0
2047,1
2048,1
2049,1
2050,0
2051,1
2052,1
2053,1
2054,1
2055,1
2056,0
2057,1
2058,0
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,0
2068,0
2069,1
2070,1
2071,1
2072,1
2073,0
2074,1
2075,1
2076,1
2077,0
2078,1
2079,1
2080,0
2081,0
2082,0
2083,1
2084,0
2085,0
2086,1
2087,0
2088,0
2089,1
2090,1
2091,1
2092,1
2093,0
2094,1
2095,1
2096,0
2097,1
2098,1
2099,1
2100,0
2101,0
2102,1
2103,0
2104,1
2105,1
2106,1
2107,1
2108,1
2109,0
2110,1
2111,0
2112,1
2113,0
2114,1
2115,1
2116,1
2117,0
2118,1
2119,0
2120,1
2121,1
2122,1
2123,1
2124,1
2125,0
2126,1
2127,0
2128,0
2129,1
2130,1
2131,1
2132,1
2133,1
2134,0
2135,0
2136,0
2137,1
2138,1
2139,0
2140,1
2141,1
2142,0
2143,1
2144,1
2145,1
2146,0
2147,0
2148,1
2149,0
2150,1
2151,0
2152,1
2153,0
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2160,0
2161,0
2162,0
2163,1
2164,1
2165,0
2166,0
2167,0
2168,1
2169,0
2170,1
2171,1
2172,1
2173,0
2174,1
2175,1
2176,1
2177,1
2178,0
2179,0
2180,1
2181,0
2182,1
2183,1
2184,1
2185,1
2186,1
2187,0
2188,1
2189,0
2190,0
2191,0
2192,0
2193,0
2194,1
2195,1
2196,0
2197,0
2198,1
2199,0
2200,1
2201,0
2202,1
2203,1
2204,0
2205,0
2206,1
2207,0
2208,1
2209,0
2210,0
2211,0
2212,1
2213,0
2214,1
2215,1
2216,1
2217,1
2218,1
2219,1
2220,0
2221,1
2222,0
2223,1
2224,1
2225,1
2226,0
2227,1
2228,1
2229,1
2230,1
2231,0
2232,0
2233,0
2234,0
2235,0
2236,1
2237,1
2238,0
2239,1
2240,1
2241,0
2242,1
2243,1
2244,0
2245,1
2246,1
2247,1
2248,0
2249,1
2250,0
2251,1
2252,1
2253,0
2254,0
2255,1
2256,1
2257,0
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,0
2265,0
2266,0
2267,1
2268,1
2269,0
2270,1
2271,1
2272,0
2273,1
2274,1
2275,0
2276,0
2277,0
2278,1
2279,1
2280,1
2281,1
2282,0
2283,1
2284,1
2285,1
2286,1
2287,1
2288,0
2289,1
2290,1
2291,1
2292,1
2293,0
2294,1
2295,1
2296,1
2297,0
2298,0
2299,1
2300,1
2301,0
2302,0
2303,0
2304,1
2305,0
2306,0
2307,1
2308,1
2309,1
2310,1
2311,1
2312,0
2313,0
2314,1
2315,0
2316,0
2317,1
2318,1
2319,1
2320,0
2321,1
2322,0
2323,0
2324,0
2325,0
2326,1
2327,1
2328,1
2329,0
2330,0
2331,1
2332,0
2333,1
2334,0
2335,0
2336,1
2337,1
2338,0
2339,0
2340,0
2341,0
2342,0
2343,1
2344,0
2345,0
2346,1
2347,0
2348,1
2349,1
2350,1
2351,1
2352,0
2353,1
2354,1
2355,1
2356,1
2357,0
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2364,0
2365,1
2366,0
2367,1
2368,1
2369,0
2370,0
2371,1
2372,0
2373,0
2374,0
2375,1
2376,0
2377,1
2378,1
2379,0
2380,1
2381,0
2382,1
2383,1
2384,1
2385,1
2386,0
2387,0
2388,1
2389,1
2390,1
2391,1
2392,1
2393,0
2394,1
2395,1
2396,1
2397,0
2398,0
2399,1
2400,0
2401,0
2402,1
2403,1
2404,0
2405,1
2406,0
2407,1
2408,1
2409,1
2410,1
2411,0
2412,1
2413,0
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,0
2429,0
2430,1
2431,0
2432,1
2433,1
2434,0
2435,1
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,1
2443,0
2444,1
2445,0
2446,1
2447,0
2448,1
2449,1
2450,0
2451,1
2452,0
2453,0
2454,1
2455,0
2456,1
2457,1
2458,1
2459,0
2460,0
2461,1
2462,1
2463,1
2464,1
2465,0
2466,0
2467,1
2468,1
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,1
2476,1
2477,1
2478,1
2479,0
2480,1
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,1
2496,1
2497,0
2498,0
2499,1
2500,1
2501,1
2502,1
2503,1
2504,0
2505,1
2506,1
2507,0
2508,1
2509,1
2510,1
2511,0
2512,0
2513,1
2514,1
2515,0
2516,0
2517,0
2518,0
2519,0
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,0
2527,0
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,0
2536,0
2537,1
2538,1
2539,1
2540,0
2541,1
2542,0
2543,0
2544,1
2545,1
2546,1
2547,1
2548,0
2549,0
2550,0
2551,1
2552,0
2553,0
2554,0
2555,1
2556,0
2557,1
2558,0
2559,1
2560,1
2561,1
2562,1
2563,1
2564,0
2565,0
2566,0
2567,1
2568,1
2569,0
2570,0
2571,1
2572,0
2573,1
2574,1
2575,0
2576,1
2577,1
2578,1
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,0
2587,1
2588,1
2589,1
2590,0
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,0
2602,1
2603,0
2604,1
2605,0
2606,1
2607,1
2608,0
2609,1
2610,1
2611,1
2612,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,0
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,1
2636,1
2637,0
2638,1
2639,0
2640,1
2641,1
2642,1
2643,1
2644,1
2645,0
2646,1
2647,0
2648,0
2649,1
2650,0
2651,0
2652,0
2653,1
2654,1
2655,1
2656,1
2657,1
2658,1
2659,1
2660,1
2661,1
2662,1
2663,1
2664,1
2665,1
2666,1
2667,1
2668,0
2669,0
2670,1
2671,1
2672,0
2673,1
2674,1
2675,1
2676,1
2677,1
2678,1
2679,1
2680,1
2681,1
2682,1
2683,1
2684,1
2685,0
2686,1
2687,0
2688,0
2689,1
2690,1
2691,1
2692,0
2693,0
2694,0
2695,1
2696,1
2697,1
2698,0
2699,0
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,1
2707,1
2708,1
2709,1
2710,1
2711,1
2712,1
2713,1
2714,0
2715,1
2716,1
2717,1
2718,0
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2730,1
2731,0
2732,1
2733,0
2734,0
2735,0
2736,1
2737,1
2738,0
2739,1
2740,1
2741,0
2742,0
2743,0
2744,0
2745,0
2746,1
2747,1
2748,0
2749,0
2750,0
2751,1
2752,1
2753,1
2754,0
2755,1
2756,0
2757,0
2758,0
2759,0
2760,0
2761,1
2762,1
2763,1
2764,0
2765,0
2766,1
2767,1
2768,1
2769,1
2770,0
2771,0
2772,0
2773,1
2774,1
2775,1
2776,0
2777,0
2778,0
2779,0
2780,1
2781,1
2782,1
2783,1
2784,0
2785,1
2786,0
2787,0
2788,0
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,0
2798,1
2799,0
2800,1
2801,1
2802,1
2803,1
2804,0
2805,1
2806,1
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2813,0
2814,1
2815,1
2816,1
2817,0
2818,1
2819,1
2820,1
2821,0
2822,1
2823,1
2824,0
2825,0
2826,1
2827,0
2828,0
2829,0
2830,1
2831,1
2832,0
2833,0
2834,1
2835,0
2836,1
2837,1
2838,1
2839,1
2840,1
2841,0
2842,1
2843,0
2844,1
2845,0
2846,1
2847,1
2848,0
2849,1
2850,0
2851,0
2852,1
2853,1
2854,0
2855,1
2856,0
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,1
2864,1
2865,1
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,0
2873,1
2874,0
2875,0
2876,0
2877,1
2878,0
2879,1
2880,0
2881,0
2882,0
2883,1
2884,1
2885,1
2886,1
2887,1
2888,0
2889,1
2890,1
2891,1
2892,1
2893,1
2894,1
2895,1
2896,1
2897,1
2898,1
2899,1
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,1
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,1
2915,1
2916,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,0
2923,0
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,0
2932,1
2933,0
2934,1
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,0
2944,1
2945,1
2946,0
2947,0
2948,1
2949,1
2950,1
2951,1
2952,1
2953,1
2954,1
2955,0
2956,0
2957,1
2958,0
2959,1
2960,0
2961,0
2962,1
2963,0
2964,1
2965,0
2966,0
2967,1
2968,0
2969,1
2970,0
2971,0
2972,0
2973,1
2974,0
2975,1
2976,0
2977,0
2978,0
2979,1
2980,0
2981,0
2982,0
2983,1
2984,1
2985,0
2986,0
2987,1
2988,0
2989,0
2990,0
2991,1
2992,1
2993,0
2994,1
2995,1
2996,0
2997,1
